X,Y,Z,class
-0.17,51.64,-73.68,3
0.12,-1.22,-0.06,3
-0.12,-1.34,-0.18,3
0.48,52.15,-73.46,3
0.06,-1.34,0.00,3
-0.12,-1.34,-0.18,3
0.39,51.38,-73.85,3
-0.12,-1.46,-0.12,3
-0.12,-1.34,-0.18,3
0.26,51.70,-73.36,3
0.18,-1.10,-0.12,3
-0.12,-1.34,-0.18,3
0.60,52.25,-73.36,3
0.12,-1.16,-0.12,3
-0.12,-1.34,-0.18,3
0.73,51.90,-72.74,3
0.06,-1.34,-0.12,3
0.00,-1.28,-0.12,3
0.22,51.56,-73.13,3
-0.06,-1.10,-0.06,3
0.00,-1.28,-0.12,3
0.55,51.93,-73.93,3
0.00,-1.34,-0.18,3
0.00,-1.28,-0.12,3
0.15,51.86,-72.71,3
0.00,-1.16,-0.12,3
0.00,-1.28,-0.12,3
0.06,51.62,-73.68,3
0.18,-1.22,-0.06,3
0.00,-1.28,-0.12,3
0.09,51.59,-73.88,3
0.12,-1.46,0.00,3
0.00,-1.28,-0.12,3
0.28,51.31,-73.36,3
-0.06,-1.16,0.06,3
0.00,-1.28,-0.12,3
-0.18,51.23,-73.44,3
-0.06,-1.22,0.00,3
0.00,-1.28,-0.12,3
0.44,51.51,-72.71,3
0.12,-1.04,-0.06,3
0.00,-1.28,-0.12,3
0.21,51.35,-73.38,3
0.06,-1.28,-0.12,3
0.00,-1.28,-0.12,3
0.70,51.35,-72.33,3
0.12,-1.16,-0.06,3
0.00,-1.28,-0.12,3
0.21,51.27,-73.95,3
-0.06,-1.16,-0.18,3
0.00,-1.28,-0.12,3
0.28,51.72,-74.33,3
0.06,-1.16,-0.18,3
0.00,-1.28,-0.12,3
0.60,51.78,-73.95,3
0.00,-1.28,-0.06,3
0.00,-1.28,-0.12,3
0.83,51.21,-73.10,3
-0.06,-1.04,-0.18,3
0.00,-1.28,-0.12,3
-0.10,51.62,-73.96,3
0.12,-0.92,0.06,3
0.00,-1.28,-0.12,3
0.06,51.32,-73.41,3
0.12,-1.28,0.00,3
0.00,-1.28,-0.12,3
-0.37,51.72,-73.85,3
-0.06,-1.34,-0.06,3
0.00,-1.28,-0.12,3
0.38,51.35,-73.73,3
-0.06,-0.98,-0.06,3
0.00,-1.28,-0.12,3
0.56,51.33,-73.56,3
0.06,-1.10,-0.06,3
0.00,-1.28,-0.12,3
0.74,50.87,-74.00,3
-0.18,-1.34,-0.06,3
0.00,-1.28,-0.12,3
-0.35,51.16,-74.06,3
0.06,-1.46,0.00,3
0.00,-1.28,-0.12,3
0.31,51.56,-74.18,3
0.00,-1.46,-0.06,3
0.00,-1.28,-0.12,3
0.15,51.59,-72.63,3
-0.12,-1.28,-0.06,3
0.00,-1.28,-0.12,3
0.57,51.61,-73.36,3
-0.06,-1.53,-0.12,3
0.00,-1.28,-0.12,3
0.31,51.81,-72.39,3
0.18,-1.46,-0.12,3
0.00,-1.28,-0.12,3
0.79,51.84,-73.68,3
-0.12,-1.53,-0.06,3
0.00,-1.28,-0.12,3
0.27,51.67,-72.95,3
0.12,-1.40,0.06,3
0.00,-1.28,-0.12,3
0.21,51.71,-73.68,3
0.12,-1.34,-0.12,3
0.00,-1.28,-0.12,3
0.01,51.83,-73.85,3
-0.18,-1.40,-0.06,3
0.00,-1.28,-0.12,3
0.34,51.97,-72.80,3
-0.06,-1.16,0.06,3
0.00,-1.28,-0.12,3
0.57,51.65,-73.49,3
0.12,-1.22,-0.06,3
0.00,-1.28,-0.12,3
0.28,52.33,-72.30,3
-0.06,-1.40,-0.06,3
0.00,-1.28,-0.12,3
0.61,52.06,-73.33,3
0.12,-1.40,-0.06,3
0.00,-1.28,-0.12,3
0.09,51.57,-72.75,3
0.00,-1.16,0.00,3
0.00,-1.28,-0.12,3
0.09,52.22,-73.91,3
0.00,-1.28,-0.06,3
0.00,-1.28,-0.12,3
0.37,51.89,-73.30,3
-0.06,-1.46,0.00,3
0.00,-1.28,-0.12,3
0.60,52.23,-73.40,3
-0.06,-1.34,0.06,3
0.00,-1.28,-0.12,3
0.90,51.65,-73.21,3
0.06,-1.34,-0.12,3
0.00,-1.28,-0.12,3
0.88,51.55,-74.05,3
0.12,-1.46,0.12,3
0.00,-1.28,-0.12,3
0.23,51.53,-73.12,3
-0.06,-1.28,0.00,3
0.00,-1.28,-0.12,3
0.55,51.38,-72.94,3
0.00,-1.34,-0.12,3
0.00,-1.28,-0.12,3
0.45,51.84,-73.06,3
-0.06,-1.28,-0.06,3
-0.12,-1.22,0.06,3
0.39,51.46,-72.81,3
-0.12,-1.40,-0.18,3
-0.12,-1.22,0.06,3
0.16,51.90,-73.33,3
0.00,-1.28,-0.18,3
-0.12,-1.22,0.06,3
0.57,52.00,-73.54,3
-0.06,-1.28,0.12,3
-0.12,-1.22,0.06,3
0.68,51.60,-73.56,3
-0.12,-1.34,0.00,3
-0.12,-1.22,0.06,3
0.85,51.50,-72.58,3
0.12,-1.16,-0.12,3
-0.12,-1.22,0.06,3
0.94,51.42,-73.79,3
0.00,-1.28,-0.06,3
-0.12,-1.22,0.06,3
0.90,51.77,-72.35,3
0.06,-1.22,-0.06,3
-0.12,-1.22,0.06,3
0.46,51.62,-73.12,3
0.00,-1.34,0.06,3
-0.12,-1.22,0.06,3
0.59,52.21,-74.69,3
0.06,-1.22,-0.06,3
