X,Y,Z,class
0.06,-1.83,0.24,1
0.21,-41.99,-105.15,1
0.18,-1.71,0.31,1
0.06,-1.83,0.24,1
-0.22,-42.19,-105.81,1
-0.06,-1.59,0.37,1
0.06,-1.83,0.24,1
0.11,-41.87,-105.26,1
0.12,-1.53,0.12,1
0.06,-1.83,0.24,1
0.32,-42.18,-105.48,1
0.12,-1.83,0.43,1
0.06,-1.83,0.24,1
-0.11,-42.77,-105.13,1
0.31,-1.83,0.43,1
0.06,-1.83,0.24,1
0.34,-42.53,-104.27,1
0.24,-1.89,0.43,1
0.18,-1.71,0.43,1
0.46,-42.65,-105.41,1
0.31,-1.95,0.24,1
0.18,-1.71,0.43,1
0.62,-42.18,-105.14,1
0.24,-1.95,0.43,1
0.18,-1.71,0.43,1
0.57,-42.49,-104.85,1
0.12,-2.01,0.43,1
0.18,-1.71,0.43,1
-0.23,-41.96,-106.19,1
0.18,-1.83,0.37,1
0.18,-1.71,0.43,1
0.13,-42.47,-106.20,1
0.24,-1.71,0.37,1
0.18,-1.71,0.43,1
0.56,-42.31,-105.26,1
0.18,-1.65,0.31,1
0.18,-1.77,0.43,1
0.04,-42.21,-105.55,1
0.18,-1.77,0.49,1
0.18,-1.77,0.43,1
0.09,-42.22,-105.51,1
0.24,-1.59,0.37,1
0.18,-1.77,0.43,1
0.45,-42.03,-105.68,1
0.06,-1.65,0.24,1
0.18,-1.77,0.43,1
0.38,-42.27,-103.98,1
0.12,-1.89,0.31,1
0.18,-1.77,0.43,1
-0.44,-42.13,-104.90,1
0.06,-1.77,0.43,1
0.18,-1.77,0.43,1
0.32,-42.14,-105.11,1
0.12,-1.89,0.55,1
0.12,-1.59,0.37,1
0.38,-42.14,-104.83,1
0.12,-1.65,0.37,1
0.12,-1.59,0.37,1
0.07,-41.81,-105.92,1
0.12,-1.59,0.31,1
0.12,-1.59,0.37,1
0.38,-41.54,-106.01,1
0.12,-1.77,0.43,1
0.12,-1.59,0.37,1
-0.04,-41.64,-106.37,1
0.12,-1.77,0.49,1
0.12,-1.59,0.37,1
-0.09,-41.70,-105.70,1
0.24,-1.77,0.37,1
0.12,-1.59,0.37,1
-0.05,-41.80,-105.65,1
0.18,-1.71,0.31,1
